,titulo,precio,sinopsis,formato,editor,coleccion,idioma,isbn
35,"Sobre la teoría de la relatividad especial y general El Libro De Bolsillo - Ciencias: Amazon.es: Albert Einstein, Miguel Paredes Larrucea: Libros","9,97 €","<div> Obra publicada en 1917, pocos años antes de que Albert Einstein (1879-1955) estableciera definitivamente las famosas ecuaciones de campo de la relatividad general, "" Sobre la teoría de la relatividad especial y general "" se propone «dar una idea lo más exacta posible de la teoría de la relatividad, pensando en aquellos que, sin dominar el apartado matemático de la física teórica, tengan interés por la teoría desde el punto de vista científico o filosófico general». La presente edición, que incorpora un índice analítico, incluye como apéndice una derivación sencilla de la transformación de Lorentz y una exposición de la formulación cuadridimensional de Minkowski.</div>",Tapa blanda: 168 páginas,Editor: Grupo Anaya Publicaciones Generales; Edición: edición (20 de noviembre de 2012),Colección: El Libro De Bolsillo - Ciencias,Idioma: Español,ISBN-13: 978-8420609744
36,La gravedad (Que sabemos de): Amazon.es: Carlos Barceló Serón: Libros,"11,40 €",,Tapa blanda: 144 páginas,Editor: Los Libros de la Catarata; Edición: 1 (5 de marzo de 2018),Colección: Que sabemos de,Idioma: Español,ISBN-13: 978-8490974421
37,Elementary Particles: Amazon.es: Enrico Fermi: Libros en idiomas extranjeros,"11,18 €","<div> Fermi was the winner of the Nobel Prize in 1938 for research on neutron physics, and of the Medal of Merit for his work on the U.S. atomic bomb project. This book makes field theories of elementary particles accessible to a larger number of students.</div>",Tapa blanda: 124 páginas,Editor: Yale University Press (4 de septiembre de 2009),Idioma: Inglés,ISBN-10: 9780300094749,ASIN: 0300094744
38,"Seis piezas fáciles: La física explicada por un genio Drakontos: Amazon.es: Richard P. Feynman, Javier García Sanz: Libros","14,20 €","<div> <p>Richard Feynman, premio Nobel de Física, no fue tan sólo un gran investigador, sino también un extraordinario maestro y un hombre de personalidad poderosa: una leyenda, a la manera de Einstein, para el gran público y «un genio», como dice el título de la biografía que le dedicó James Gleick, para sus colegas. Este libro, sirve a la vez como una introducción a la Física para los no científicos y como una introducción al propio Feynman.</p></div>",Tapa blanda: 192 páginas,Editor: Editorial Crítica (16 de noviembre de 2017),Colección: Drakontos,Idioma: Español,ISBN-13: 978-8417067496
39,ARBORIZAÇÃO VIÁRIA SOB REDE ELÉTRICA NO ESTADO DE MINAS GERAIS: Amazon.es: Dr. Altamir Fernandes de Oliveira: Libros en idiomas extranjeros,"9,38 €","<div> Este livro é parte da tese de doutorado do Prof. Dr. Altamir Fernandes de Oliveira. O autor fez um levantamento da arborização viária sob rede elétrica no Estado de Minas Gerais quando era funcionário da Companhia Energética de Minas Gerais (CEMIG), na qual como parte de suas funções gerenciava um projeto de Pesquisa e Desenvolvimento (P&amp;D) na Universidade Federal de Lavras (UFLA), instituição onde se doutorou.</div>",Tapa blanda: 85 páginas,Editor: Independently published (7 de agosto de 2019),Idioma: Portugués,ISBN-10: 1089000251,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
40,Accessory To War: Amazon.es: Vv.Aa: Libros en idiomas extranjeros,"15,67 €","<div> In this fascinating foray into the millennia-long relationship between science and military power, ""the world's best science communicator"" (Times Literary Supplement), astrophysicist Neil deGrasse Tyson and writer Avis Lang examine how the methods and tools of astrophysics have been enlisted in the service of war. ""The overlap is strong, and it's a two- way street"", say the authors, because the astrophysicists and military planners care about many of the same things: multi- spectral detection, ranging, tracking, imaging, high ground, nuclear fusion and access to space. Tyson and Lang call it a ""curiously complicit"" alliance. Spanning early celestial navigation to satellite-enabled warfare, Accessory to War is a richly researched and provocative examination of the intersection of science, technology, industry and power that will introduce Tyson's millions of fans to yet another dimension of how the universe has shaped our lives and our world.</div>",Tapa blanda,Editor: W.W. Norton & Co; Edición: Reprint (5 de octubre de 2019),Idioma: Inglés,ISBN-10: 0393357465,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
41,"Tao de la fisica (n.e.): Amazon.es: FRITJOF CAPRA, ALMA ALICIA MARTELL MORENO: Libros","16,62 €","<div> El universo es una eterna danza de partículas subatómicas cuyas relaciones entre sí son al mismo tiempo asombrosamente lógicas y totalmente inexplicables. Los místicos de todas las épocas han intentado captar este universo mediante la interiorización y la meditación. Los físicos nucleares lo exploran a través de la experimentación y la hipótesis. Sus caminos no pueden ser más dispares; sin embargo, vemos cómo cada uno, a su manera, descubre las mismas verdades. Con un lenguaje asequible a todo el mundo y sin complejas fórmulas matemáticas, el doctor Fritjof Capra explora en esta obra ya clásica los principales conceptos y teorías de la física moderna y los compara con las milenarias doctrinas budistas y taoístas. El resultado es un cuadro fascinante. Tanto la ciencia occidental como el misticismo oriental nos revelan una misma y única verdad: el Universo es un Todo íntimamente interconectado, un flujo incesante de energía del que todos formamos parte, aunque ciencia y misticismo tengan dos maneras distintas de expresar ese conocimiento.</div>",Tapa blanda: 420 páginas,Editor: Editorial Sirio; Edición: 1 (18 de julio de 2017),Idioma: Español,ISBN-10: 8416579709,"Valoración media de los clientes:




4.2 de un máximo de 5 estrellas






      4 opiniones de clientes"
42,Física Vox - Diccionarios Temáticos Vox - Colección Vox 10: Amazon.es: Vox Editorial: Libros,"14,15 €","<div> Un diccionario imprescindible para estudiantes de Secundaria y Bachillerato. A través de sus definiciones, ejemplos, ejercicios modelo resueltos y resúmenes, el estudiante puede solucionar sus dudas y reforzar sus conocimientos de la materia. El diccionario ofrece definición de conceptos, acompañadas de ejemplos y ejercicios modelo resueltos. Además, incluye recursos para evitar los errores más frecuentes y numerosos dibujos, gráficos y esquemas. ¡Con un práctico resumen de fórmulas!</div>",Tapa blanda: 352 páginas,Editor: Grupo Anaya Publicaciones Generales; Edición: edición (28 de marzo de 2019),Colección: Vox - Diccionarios Temáticos Vox - Colección Vox 10,Idioma: Español,ISBN-13: 978-8499743103
43,"The Feynman Lectures on Physics, Vol. I: The New Millennium Edition: Mainly Mechanics, Radiation, and Heat: 1 Basic Books: Amazon.es: Matthew Sands, Richard Feynman, Robert Leighton: Libros en idiomas extranjeros","36,99 €","<div> The whole thing was basically an experiment,"" Richard Feynman said late in his career, looking back on the origins of his lectures. The experiment turned out to be hugely successful, spawning publications that have remained definitive and introductory to physics for decades. Ranging from the basic principles of Newtonian physics through such formidable theories as general relativity and quantum mechanics, Feynman's lectures stand as a monument of clear exposition and deep insight. Timeless and collectible, the lectures are essential reading, not just for students of physics but for anyone seeking an introduction to the field from the inimitable Feynman.</div>",Tapa blanda: 560 páginas,Editor: Basic Books; Edición: New Millenium (4 de octubre de 2011),Colección: Basic Books,Idioma: Inglés,ISBN-13: 978-0465024933
44,How to Teach Quantum Physics to Your Dog: Amazon.es: Chad Orzel: Libros en idiomas extranjeros,"13,57 €","<div> The international bestseller from the author of Breakfast with Einstein Emmy is no ordinary dog. When adopted from the shelter by physics professor Chad Orzel, she becomes immediately fascinated by his work. Could she use quantum tunnelling to get through the neighbour's fence? How about diffracting round a tree to chase squirrels? Or using virtual particles to catch bunnies made of cheese? Taking Emmy's anarchic behaviour as a starting point, Orzel explains the key theories of quantum physics. From quarks and gluons to Heisenberg's uncertainty principle, this is a uniquely entertaining way to unlock the secrets of the universe.</div>",Tapa blanda: 224 páginas,Editor: Oneworld Publications (1 de octubre de 2010),Idioma: Inglés,ISBN-10: 1851687793,"Valoración media de los clientes:




5.0 de un máximo de 5 estrellas






      1 opinión de cliente"
45,SpaceX's Dragon: America's Next Generation Spacecraft Springer Praxis Books: Amazon.es: Erik Seedhouse: Libros en idiomas extranjeros,"31,19 €","<div> <p>Dragon V2 is a futuristic vehicle that not only provides a means for NASA to transport its astronauts to the orbiting outpost but also advances SpaceX’s core objective of reusability. A direct descendant of Dragon, Dragon V2 can be retrieved, refurbished and re-launched. It is a spacecraft with the potential to completely revolutionize the economics of an industry where equipment costing hundreds of millions of dollars is routinely discarded after a single use. It was presented by SpaceX CEO Elon Musk in May 2014 as the spaceship that will carry NASA astronauts to the International Space Station as soon as 2016.</p><p><i>SpaceX’s Dragon – America’s Next Generation Spacecraft </i>describes the extraordinary feats of engineering and human achievement that have placed this revolutionary spacecraft at the forefront of the launch industry and positioned it as the precursor for ultimately transporting humans to Mars. It describes the design and development of Dragon, provides mission highlights of the first six Commercial Resupply Missions, and explains how Musk hopes to eventually colonize Mars.</p></div>",Tapa blanda: 208 páginas,Editor: Springer; Edición: 1st ed. 2016 (13 de noviembre de 2015),Colección: Springer Praxis Books,Idioma: Inglés,ISBN-13: 978-3319215143
46,"Tesla: The Man, The Inventor & The Father of Electricity: Amazon.es: Richard Gunderman: Libros en idiomas extranjeros","21,13 €


+ Envío GRATIS","<div> Known as the father of modern electricity, Nikola Tesla's work transformed the world. The scientist and engineer was devoted to discovery, registering over 700 patents in his lifetime. From X-ray to radar, to the Tesla Coil, radio and remote control, this illustrated biography reveals the development of Tesla's key theories and inventions, shining a light on the personal and professional lives of an eccentric man who, ultimately, led a life of solitude and penury despite contributing so much to modern civilization. Illustrated with rare and beautifully reproduced documents and photographs from his personal archives, Tesla is a comprehensive portrait of an ever-questioning mind.</div>",Tapa dura: 160 páginas,Editor: Welbeck Publishing Group; Edición: 01 (24 de abril de 2019),Idioma: Inglés,ISBN-10: 0233005765,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
47,Fatal Attraction: Magnetic Mysteries of the Enlightenment: Amazon.es: Patricia Fara: Libros en idiomas extranjeros,"10,78 €


+ Envío GRATIS","<div> At the end of the 17th century, magnetism was a dark, mysterious force, known about since ancient Greece but still poorly understood. Tales abounded of magnets' ability to attract reluctant lovers, and magnetic expertise lay in the hands of seafarers, who had long used compasses to guide their ships. This book tells the stories of three men who were lured by nature's strangest power. Edmond Halley set out to map the Earth's magnetic patterns and improve navigation, showing how science could help England to expand her empire. Gowin Knight, a poor clergyman's son, climbed to fame and fortune by developing powerful artificial magnets used in compasses, scientific experiments and popular magic tricks. And although Franz Mesmer claimed that his 'animal magnetism', based on harnessing invisible streams of magnetic fluid, was the revolutionary medicine of the future, he was ultimately denounced as a quack. The move from magnetic mysticism to celebrating scientific rationality is a microcosm of the Enlightenment itself. In this book the author portrays the colourful protagonists of the magnetic revolution in this tumultuous and turbulent age.</div>",Tapa dura: 204 páginas,Editor: Icon Books Ltd; Edición: First Edition (7 de abril de 2005),Idioma: Inglés,ISBN-10: 1567317669,ASIN: 1840466324
48,Algebra Cuaderno de Ejercicios: Amazon.es: Baldor: Libros,,<div> Workbook companion for Algebra by Baldor text book. <p> Illustrated with theorems and proofs.</p></div>,Libro de texto: 200 páginas,Editor: GRUPO PATRIA CULTURAL; Edición: Workbook (1 de diciembre de 2017),Idioma: Español,ISBN-10: 6074386463,"Valoración media de los clientes:




5.0 de un máximo de 5 estrellas






      2 opiniones de clientes"
49,Linear and Nonlinear Programming: Second Edition: Amazon.es: David G. Luenberger: Libros en idiomas extranjeros,"76,96 €



                            + EUR 5,99 de gastos de envío
                        ","<div> <p>The original edition of this book was celebrated for its coverage of the central concepts of practical optimization techniques. This updated edition expands and illuminates the connection between the purely analytical character of an optimization problem, expressed by properties of the necessary conditions, and the behavior of algorithms used to solve a problem. Incorporating modern theoretical insights, this classic text is even more useful.</p></div>",Tapa dura: 492 páginas,Editor: Springer; Edición: 2nd ed. 2003 (30 de septiembre de 2003),Idioma: Inglés,ISBN-10: 1402075936,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
50,Particle Physics: A Very Short Introduction Very Short Introductions: Amazon.es: Frank Close: Libros en idiomas extranjeros,"Comprar nuevo



11,18 €","<div> In this compelling introduction to the fundamental particles that make up the universe, Frank Close takes us on a journey into the atom to examine known particles such as quarks, electrons, and the ghostly neutrino. Along the way he provides fascinating insights into how discoveries in particle physics have actually been made, and discusses how our picture of the world has been radically revised in the light of these developments. He concludes by looking ahead to new ideas about the mystery of antimatter, the number of dimensions that there might be in the universe, and to what the next 50 years of research might reveal. <br/><br/> ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.</div>",Tapa blanda: 160 páginas,Editor: OUP Oxford (13 de mayo de 2004),Colección: Very Short Introductions,Idioma: Inglés,ISBN-13: 978-0192804341
51,ITER: The Giant Fusion Reactor: Bringing a Sun to Earth: Amazon.es: Michel Claessens: Libros en idiomas extranjeros,"20,79 €","<div> <div><div>This book provides for the first time an insider’s view into ITER, the biggest fusion reactor in the world, which is currently being constructed in southern France.</div><div><br/></div><div>Aimed at bringing the “energy of the stars” to earth, ITER is funded by the major economic powers (China, the EU, India, Japan, Korea, Russia and the US). Often presented as a “nuclear but green” energy source, fusion could play an important role in the future electricity supply. But as delays accumulate and budgets continue to grow, ITER is currently a star partially obscured by clouds. </div><div><br/></div><div>Will ITER save humanity by providing a clean, safe and limitless source of energy, or is it merely a political showcase of cutting-edge technology? Is ITER merely an ambitious research project and partly a PR initiative driven by some politically connected scientists? In any case, ITER has already helped spur on rival projects in the US, Canada and the UK. This book offers readers a behind-the-scenes look at this controversial project, which France snatched from Japan, and introduces them to a world of superlatives: with the largest magnets in the world, the biggest cryogenic plant and tremendous computing power, ITER is one of the most fascinating, and most international, scientific and technological endeavours of our time.</div></div><div><br/></div></div>",Tapa blanda: 216 páginas,Editor: Copernicus; Edición: 1st ed. 2020 (30 de octubre de 2019),Idioma: Inglés,ISBN-10: 3030275809,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
52,"Problemas de física: C.O.U., Bachillerato Logse y selectividad Fuera de Colección - 9788489869103: Amazon.es: Juan Manuel Rodríguez Pulido, Ramón López Gutiérrez, Eva Cazalilla Cantero, Pedro Luján Servet, Antonio Hayas Barrú: Libros","6,85 €","<div> Libro dirigido a los alumnos de COU, o cursos anteriores. Se trata de complementar la labor del profesor con más de 130 problemas resueltos, correspondiente al programa de la asignatura.</div>",Tapa blanda: 148 páginas,Editor: Editorial Universidad de Jaén; Edición: 1 (14 de abril de 1998),Colección: Fuera de Colección,Idioma: Español,ISBN-13: 978-8489869103
53,Surely You're Joking Mr Feynman: Adventures of a Curious Character as Told to Ralph Leighton: Amazon.es: Richard P Feynman: Libros en idiomas extranjeros,"13,50 €","<div> Winner of the Nobel Prize for Physics in 1965, Richard Feynman was one of the world's greatest theoretical physicists, but he was also a man who fell, often jumped, into adventure. An artist, safecracker, practical joker and storyteller, Feynman's life was a series of combustible combinations made possible by his unique mixture of high intelligence, unquenchable curiosity and eternal scepticism. Over a period of years, Feynman's conversations with his friend Ralph Leighton were first taped and then set down as they appear here, little changed from their spoken form, giving a wise, funny, passionate and totally honest self-portrait of one of the greatest men of our age.</div>",Tapa blanda: 368 páginas,Editor: Vintage; Edición: New Ed (19 de noviembre de 1992),Idioma: Inglés,ISBN-10: 9780099173311,"Valoración media de los clientes:




4.4 de un máximo de 5 estrellas






      14 opiniones de clientes"
54,"El andar del borracho: Cómo el azar gobierna nuestras vidas Drakontos Bolsillo: Amazon.es: Leonard Mlodinow, Susana Martínez Mendizábal: Libros","Comprar nuevo



10,40 €","<div> <p>En 1905 Albert Einstein publicó una impactante explicación sobre el movimiento browniano ―el movimiento arbitrario de partículas― comparándolo con la clase de movimiento que se observaría en el caminar de un borracho. El símil se convirtió desde entonces en una poderosa herramienta para entender el movimiento puramente arbitrario que, por definición, no tiene ningún modelo específico.</p> <p>El azar, lo aleatorio, está presente en la política, en los negocios, en la medicina, en los deportes, en el ocio, en toda la vida diaria. En este libro, Leonard Mlodinow examina la ley del caminar del borracho en relación con la vida humana diaria, con las diversas decisiones que continuamente tomamos empujados por acontecimientos arbitrarios que, unidos a nuestras reacciones, influyen en la mayor parte de nuestra vida personal. Y es que el acierto o el error muchas veces no proceden de un gran conocimiento o de una gran incompetencia, sino de circunstancias fortuitas y erráticas, como el andar de un borracho.</p></div>",Tapa blanda: 228 páginas,Editor: Booket (11 de marzo de 2010),Colección: Drakontos Bolsillo,Idioma: Español,ISBN-13: 978-8498920840
55,"Cuestiones cuánticas: Escritos místicos de los físicos más famosos del mundo Nueva Ciencia: Amazon.es: Ken Wilber, Pedro de Casso García: Libros","Comprar nuevo



14,25 €","<div> Por primera vez se reúnen en un libro los escritos místicos de los científicos más eminentes de nuestra era, los padres fundadores de la Relatividad y de la Física Cuántica. Todos ellos, con un lenguaje asequible y ajeno a la terminología técnica, expresan su convicción de que la física y la mística, de alguna manera, son complementarias. Ciertamente, el autor de la compilación, Ken Wilber, nos previene contra la ya abusiva tendencia a ligar la suerte de la mística con el nuevo paradigma de la ciencia. Son cosas diferentes que, precisamente en tanto que diferentes, pueden convivir. Pero queda intacta una pregunta: ¿qué fue lo que llevó a científicos tan diversos a compartir una visión mística de la realidad? Ello es que Heisenberg, Schroedinger, Einstein, Jeans, Planck, Pauli, Eddington, todos, sin excepción, acabaron teniendo una concepción trascendente del mundo donde la dualidad entre materia y espíritu quedaba sobrepasada. Y que esta concepción les vino como remate de una postura crítica y no irracional. Nos encontramos, pues, ante el aspecto más hondo y apasionante de la ciencia de nuestro tiempo. La aventura intelectual más fascinante contada por sus protagonistas más preclaros.</div>",Tapa blanda: 320 páginas,Editor: Editorial Kairós SA; Edición: 1 (1 de septiembre de 1987),Colección: Nueva Ciencia,Idioma: Español,ISBN-13: 978-8472451728
56,On the Future: Prospects for Humanity: Amazon.es: Martin Rees: Libros en idiomas extranjeros,"18,47 €","<div> A provocative and inspiring look at the future of humanity and science from world-renowned scientist and bestselling author Martin Rees Humanity has reached a critical moment. Our world is unsettled and rapidly changing, and we face existential risks over the next century. Various outcomes-good and bad-are possible. Yet our approach to the future is characterized by short-term thinking, polarizing debates, alarmist rhetoric, and pessimism. In this short, exhilarating book, renowned scientist and bestselling author Martin Rees argues that humanity's prospects depend on our taking a very different approach to planning for tomorrow. The future of humanity is bound to the future of science and hinges on how successfully we harness technological advances to address our challenges. If we are to use science to solve our problems while avoiding its dystopian risks, we must think rationally, globally, collectively, and optimistically about the long term. Advances in biotechnology, cybertechnology, robotics, and artificial intelligence-if pursued and applied wisely-could empower us to boost the developing and developed world and overcome the threats humanity faces on Earth, from climate change to nuclear war. At the same time, further advances in space science will allow humans to explore the solar system and beyond with robots and AI. But there is no ""Plan B"" for Earth-no viable alternative within reach if we do not care for our home planet. Rich with fascinating insights into cutting-edge science and technology, this accessible book will captivate anyone who wants to understand the critical issues that will define the future of humanity on Earth and beyond.</div>",Tapa dura: 256 páginas,Editor: Princeton Univers. Press (1 de octubre de 2018),Idioma: Inglés,ISBN-10: 069118044X,"Valoración media de los clientes:




4.5 de un máximo de 5 estrellas






      2 opiniones de clientes"
57,Principles of Mathematical Petrophysics International Association for Mathematical Geology Studies in Mathematical Geology: Amazon.es: John H. Doveton: Libros en idiomas extranjeros,"145,31 €","<div> The pioneering work of Gus Archie moved log interpretation into log analysis with the introduction of the equation that bears his name. Subsequent developments have mixed empiricism, physics, mathematical algorithms, and geological or engineering models as methods applied to petrophysical measurements in boreholes all over the world. <em>Principles of Mathematical Petrophysics</em> reviews the application of mathematics to petrophysics in a format that crystallizes the subject as a subdiscipline appropriate for the workstations of today. The subject matter is of wide interest to both academic and industrial professionals who work with subsurface data applied to energy, hydrology, and environmental issues. <br/>This book is the first of its kind, in that it addresses mathematical petrophysics as a distinct discipline. Other books in petrophysics are either extensive descriptions of tool design or interpretation techniques, typically in an <em>ad hoc</em> treatment. It covers mathematical methods that are applied to borehole and core petrophysical measurements to estimate rock properties of fluid saturation, pore types, permeability, mineralogy, facies, and reservoir characterization. These methods are demonstrated by a variety of case studies and summaries of applications. <em>Principles of Mathematical Petrophysics</em> is an invaluable resource for all people working with data related to petrophysics.</div>",Tapa dura: 272 páginas,Editor: OUP USA (2 de octubre de 2014),Colección: International Association for Mathematical Geology Studies in Mathematical Geology,Idioma: Inglés,ISBN-13: 978-0199978045
58,Letters from an Astrophysicist: Amazon.es: Neil deGrasse Tyson: Libros en idiomas extranjeros,"9,92 €


+ Envío GRATIS","<div> <b></b><br/><b>INSTANT NEW YORK TIMES BESTSELLER!</b><br/><b></b><br/><b>Join the galactic conversation on the biggest issues in the universe, from the 'most popular scientist in the world'</b><br/><br/><i>‘Don't fear change. Don't fear failure. The only thing to fear is loss of ambition. But if you've got plenty of that, then you have nothing to fear at all’ </i>– Neil deGrasse Tyson<br/><br/>Neil deGrasse Tyson is arguably the most influential, acclaimed scientist on the planet. As director of the Hayden Planetarium, and host of <i>Cosmos</i> and <i>StarTalk</i>, he has dedicated his life to exploring and explaining the mysteries of the universe.<br/><br/>Every year, he receives thousands of letters – from students to prisoners, scientists to priests. Some seek advice, others yearn for inspiration; some are full of despair, others burst with wonder. But they are all searching for understanding, meaning and truth.<br/><br/>His replies are by turns wise, funny, and mind-blowing. In this, his most personal book by far, he covers everything from God to the history of science, from aliens to death. He bares his soul – his passions, his doubts, his hopes. The big theme is everywhere in these pages: <i>what is our place in the universe?</i><br/><i></i><br/>The result is an awe-inspiring read and an intimate portal into an incredible mind, which reveals the power of the universe to start conversations and inspire curiosity in all of us.</div>",Tapa dura: 272 páginas,Editor: WH Allen (10 de octubre de 2019),Idioma: Inglés,ISBN-10: 0753553783,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
59,"Redshift (Building Blocks of Modern Astronomy): Amazon.es: Stuart Clark, Patrick Moore: Libros en idiomas extranjeros",,"<div> The light emitted by celestial objects can have its wavelength ""stretched"" in different ways before it is observed by astronomers. These stretching phenomena are collectively called ""redshift"". They influence virtually all aspects of astronomy and even underpin the ""Big Bang"" theory of the creation of the universe. This book details the types of redshift and explains their myriad of uses. It begins by introducing the nature of light and the problems involved in measuring its properties. After explaining the redshift phenomena and their uses, the book touches on the age and size of the universe; two subjects embroiled in controversy because of our current interpretation of the redshift. Less conventional theories are then expressed. As a by-product of the explanation of redshift, the book offers the reader a basic understanding of Einstein's theory of relativity. Mathematical treatments of the concepts introduced in the text are boxed off and should not detract from the book's readibility, but allow it to be used as a textbook by students of astronomy at all levels. It is also suitable for astronomers and astrophysicists, amateur astronomers, and any science enthusiast.</div>",Tapa blanda: 197 páginas,Editor: University of Hertfordshire Press (1 de abril de 1997),Colección: Building Blocks of Modern Astronomy,Idioma: Inglés,ISBN-13: 978-0900458668
60,"Problemas de Termodinámica (Manuales): Amazon.es: Santiago Velasco Maíllo, Cristóbal Fernández Pineda: Libros","16,15 €","<div> Se resuelven en este libro los problemas propuestos en Termodinámica de los mismos autores y publicado por esta editorial, siguiendo la misma agrupación por capítulos que allí aparece.</div>",Tapa blanda: 224 páginas,Editor: Editorial Universitaria Ramón Areces; Edición: 1 (20 de septiembre de 2010),Colección: Manuales,Idioma: Español,ISBN-13: 978-8499610061
61,Energy and Civilization: A History (The MIT Press): Amazon.es: Vaclav Smil: Libros en idiomas extranjeros,,"<div> A comprehensive account of how energy has shaped society throughout history, from pre-agricultural foraging societies through today's fossil fuel-driven civilization. ""I wait for new Smil books the way some people wait for the next 'Star Wars' movie. In his latest book, Energy and Civilization: A History, he goes deep and broad to explain how innovations in humans' ability to turn energy into heat, light, and motion have been a driving force behind our cultural and economic progress over the past 10,000 years. -Bill Gates, Gates Notes, Best Books of the Year Energy is the only universal currency; it is necessary for getting anything done. The conversion of energy on Earth ranges from terra-forming forces of plate tectonics to cumulative erosive effects of raindrops. Life on Earth depends on the photosynthetic conversion of solar energy into plant biomass. Humans have come to rely on many more energy flows-ranging from fossil fuels to photovoltaic generation of electricity-for their civilized existence. In this monumental history, Vaclav Smil provides a comprehensive account of how energy has shaped society, from pre-agricultural foraging societies through today's fossil fuel-driven civilization. Humans are the only species that can systematically harness energies outside their bodies, using the power of their intellect and an enormous variety of artifacts-from the simplest tools to internal combustion engines and nuclear reactors. The epochal transition to fossil fuels affected everything: agriculture, industry, transportation, weapons, communication, economics, urbanization, quality of life, politics, and the environment. Smil describes humanity's energy eras in panoramic and interdisciplinary fashion, offering readers a magisterial overview. This book is an extensively updated and expanded version of Smil's Energy in World History (1994). Smil has incorporated an enormous amount of new material, reflecting the dramatic developments in energy studies over the last two decades and his own research over that time.</div>",Tapa blanda: 552 páginas,Editor: MIT Press; Edición: Reprint (19 de octubre de 2018),Colección: The MIT Press,Idioma: Inglés,ISBN-13: 978-0262536165
62,"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the 10th Dimens Ion: Amazon.es: Michio Kaku: Libros en idiomas extranjeros","Comprar nuevo



11,79 €","<div> The first book-length exploration of the most exciting development in modern physics, the theory of 10-dimensional space. The theory of hyperspace, which Michio Kaku pioneered, may be the leading candidate for the Theory of Everything that Einstein spent the remaining years of his life searching for.</div>",Tapa blanda: 384 páginas,Editor: ANCHOR (1 de febrero de 1995),Idioma: Inglés,ISBN-10: 0385477058,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
63,Física. Prueba de acceso a la Universidad para Mayores de 25 años: Amazon.es: S.L. CENTRO DE ESTUDIOS VECTOR: Libros,"28,50 €",,Tapa blanda: 418 páginas,Editor: Editorial MAD; Edición: 1 (18 de septiembre de 2015),Idioma: Español,ISBN-10: 8490934347,"Valoración media de los clientes:




5.0 de un máximo de 5 estrellas






      2 opiniones de clientes"
64,Bridging Science and Spirit: The Genius of William A. Tiller's Physics and the Promise of Information Medicine: Amazon.es: Nisha J. Manek MD: Libros en idiomas extranjeros,"17,84 €","<div> Fascinated by the mysterious power of human intention to make things happen? Discover its real-world applications by exploring the breakthrough research of psychoenergetic science.Does the physics of consciousness have you scratching your head? Want to know how being intentional can improve your life? Ever wonder where science and spirituality intersect? As a protégé of Dr. William A. Tiller, Dr. Nisha Manek is well-versed in the trailblazing scientist’s cutting-edge research and theories. A former esteemed member of Mayo Clinic’s Division of Rheumatology and an internationally recognized leader of Integrative Medicine, Dr. Manek is at the forefront of innovative approaches to health and wellness. Now she’s slicing through the scientific jargon with an insider’s look into how intention will be the next big medical breakthrough.Bridging Science and Spirit: The Genius of William A. Tiller’s Physics and the Promise of Information Medicine is a beginner’s handbook to this pioneering field. Using lab-based evidence and illuminating illustrations, Dr. Manek connects current scientific understandings of thermodynamics and the nature of awareness with universal spiritual truths. With these thought-provoking theories driving practical techniques, the medical and technological evolution inevitable in your lifetime is stunning.In Bridging Science and Spirit, you’ll discover:- An easy-to-understand overview of William A. Tiller’s most influential work- Seven pillars that support the shared principles of science and spirit- More than sixty drawings to clearly illustrate the core scientific concepts- An exploration of the levels of consciousness and how they impact your relationship with reality- An entertaining mix of history, physics, and spiritual anecdotes, and much, much more!Bridging Science and Spirit is a simple guide for unlocking the capacity of human intention. If you like expert insights, complex scientific concepts explained in everyday language, and intellectually energizing material, then you’ll love Dr. Nisha Manek’s unprecedented resource.Pick up Bridging Science and Spirit to expand your mental horizons today!</div>",Tapa blanda: 438 páginas,Editor: Conscious Creation LLC (2 de octubre de 2019),Idioma: Inglés,ISBN-10: 1950559009,"Valoración media de los clientes:


    Sé el primero en opinar sobre este producto"
